Designator,Mid X,Mid Y,Layer,Rot
C15,146.75,-113.75,bottom,90
C20,160.1125,-108.2,bottom,270
C23,156.8,-112.925,bottom,90
C58,157,-92.1,bottom,0
C59,152.1,-93.4,bottom,270
FB1,154.75,-113,bottom,90
FB2,143.6,-117.5,bottom,0
J1,150,-117,bottom,0
Q1,143.52,-102.2125,bottom,270
Q2,139.45,-102.2125,bottom,270
Q3,143.4375,-108.75,bottom,180
R8,142.77,-104.9,bottom,0
R9,139.44,-104.9,bottom,180
R10,140.19,-99.6875,bottom,180
R11,144.27,-99.6875,bottom,180
R13,149.8,-93.35,bottom,0
R18,142.4,-88.7533,bottom,180
R19,144.15,-89.0033,bottom,90
R20,142.4,-87.2533,bottom,180
R21,144.15,-87.0033,bottom,270
R22,142.52,-99.1875,bottom,90
R23,138.44,-99.1875,bottom,270
R25,152,-90.75,bottom,90
R26,142.1,-114.3,bottom,90
R27,146,-107.75,bottom,90
R28,146,-110,bottom,270
TP24,156.7,-117.4,bottom,0
U6,157.3625,-108.2,bottom,0
Y4,154.25,-93.1,bottom,0
AE2,136.919874,-87.75,top,180
C14,137.8,-106.9,top,0
C16,147.7,-116.9,top,0
C17,144.5,-118,top,270
C18,148.25,-108.25,top,0
C19,142.5,-107.625,top,90
C37,141.27,-100.75,top,180
C38,142.02,-97.27,top,90
C39,140.52,-99.5,top,180
C40,140.25,-98.25,top,180
C41,143.27,-97.27,top,90
C42,143.25,-93.77,top,90
C43,138.75,-102.5,top,270
C44,149.75,-94.1,top,0
C45,158.1,-90.7,top,180
C46,155,-90.1,top,270
C47,159.74,-94.585,top,180
C48,157.72,-99.835,top,180
C49,159.74,-95.835,top,180
C50,159.9,-98.335,top,180
C51,150,-95.9,top,0
C52,149.1975,-92.85,top,0
C53,153.75,-90.1,top,270
C54,155.99,-99.085,top,90
C55,159.74,-97.085,top,180
C56,159.74,-93.335,top,180
C57,157.74,-98.585,top,0
C60,150.8,-100.7,top,0
C61,148.5,-98.3,top,270
C62,152.4,-102.6,top,180
C63,146,-87.5,top,0
C64,146,-88.75,top,0
C65,160.25,-102.015,top,180
C66,150.1,-97.1,top,0
L3,142.77,-99.02,top,0
L10,139.25,-104,top,0
L11,150.75,-103,top,90
L12,161.75,-101.75,top,90
L13,158.5,-102.515,top,270
L14,156.75,-102.015,top,180
L15,142.77,-95.52,top,0
L16,142.77,-92.02,top,0
MP1,137.625,-116.875,top,0
MP2,156.5,-83,top,0
MP3,162.375,-116.875,top,0
R12,148,-94.75,top,270
R15,151.5,-98.9,top,180
R16,149.5,-103,top,90
R24,139.875,-102.375,top,270
TP23,154.5,-116.75,top,0
U3,142.77,-103.7125,top,90
U4,144.7,-112.7375,top,270
U5,155.5,-94.5,top,270
U7,143.149874,-87.75,top,0
